Industry,Company,Domain,CDN_Providers,Multi_CDN,Detection_Methods,IP_Detection,CNAME_Detection,Header_Detection,Status,Error,Timestamp
Healthcare & Pharmaceuticals,UnitedHealth Group,unitedhealthgroup.com,Fastly,NO,ip: Fastly,"Fastly: 151.101.195.10, 151.101.131.10, 151.101.67.10, 151.101.3.10",,,success,,2025-10-06T22:03:44.800451
Healthcare & Pharmaceuticals,CVS Health,cvshealth.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:03:45.820720
Healthcare & Pharmaceuticals,Johnson & Johnson,jnj.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:03:46.281716
Healthcare & Pharmaceuticals,Pfizer,pfizer.com,Cloudflare,NO,ip: Cloudflare; headers: Cloudflare,"Cloudflare: 172.64.152.162, 104.18.35.94",,Cloudflare: cf-ray: 98a81b834b5ab33d-man,success,,2025-10-06T22:03:47.515868
Healthcare & Pharmaceuticals,Cigna,cigna.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:03:47.781785
Payment Processing & Fintech,PayPal,paypal.com,Cloudflare; Fastly,YES,"ip: Cloudflare,Fastly","Cloudflare: 162.159.141.96; Fastly: 151.101.195.1, 151.101.3.1",,,success,,2025-10-06T22:04:03.109489
Payment Processing & Fintech,Visa,visa.com,Cloudflare,NO,ip: Cloudflare; headers: Cloudflare,"Cloudflare: 162.159.153.2, 162.159.152.2",,Cloudflare: cf-ray: 98a81be61c9011ce-lhr,success,,2025-10-06T22:04:03.261036
Payment Processing & Fintech,Mastercard,mastercard.com,Direct/Origin Server,NO,,,,,success,,2025-10-06T22:04:03.577986
Payment Processing & Fintech,Stripe,stripe.com,Azure CDN,NO,ip: Azure CDN,"Azure CDN: 52.30.58.64, 52.49.17.168",,,success,,2025-10-06T22:04:04.132545
Payment Processing & Fintech,Block (Square),block.xyz,Fastly,NO,ip: Fastly,"Fastly: 151.101.129.49, 151.101.1.49, 151.101.193.49, 151.101.65.49",,,success,,2025-10-06T22:04:04.587106
Retail & E-commerce,Walmart,walmart.com,Akamai,NO,ip: Akamai,Akamai: 2.22.68.127,,,success,,2025-10-06T22:03:51.241192
Retail & E-commerce,Costco,costco.com,Akamai,NO,ip: Akamai,Akamai: 2.23.149.155,,,success,,2025-10-06T22:03:52.823584
Retail & E-commerce,Home Depot,homedepot.com,Google Cloud CDN,NO,ip: Google Cloud CDN,Google Cloud CDN: 35.201.95.83,,,success,,2025-10-06T22:03:53.357050
Retail & E-commerce,Target,target.com,Fastly,NO,ip: Fastly,"Fastly: 151.101.2.187, 151.101.130.187, 151.101.66.187, 151.101.194.187",,,success,,2025-10-06T22:03:53.732302
Technology & Software,Apple,apple.com,Internal/Proprietary CDN,NO,,,,,success,,2025-10-06T22:03:48.682656
Technology & Software,Microsoft,microsoft.com,Azure CDN,NO,ip: Azure CDN; headers: Azure CDN,"Azure CDN: 13.107.246.64, 13.107.213.64",,Azure CDN: x-azure-ref: 20251006t210349z-17b47f46bf8c6rsjhc1lonwg3c00000001x000000000mea0,success,,2025-10-06T22:03:48.855663
Technology & Software,Amazon,amazon.com,AWS CloudFront; Azure CDN,YES,"ip: Azure CDN,AWS CloudFront",Azure CDN: 52.94.236.248; AWS CloudFront: 205.251.242.103,,,success,,2025-10-06T22:03:49.126451
Technology & Software,Google,google.com,Google Cloud CDN,NO,ip: Google Cloud CDN,"Google Cloud CDN: 142.250.151.113, 142.250.151.138, 142.250.151.139, 142.250.151.101, 142.250.151.100, 142.250.151.102",,,success,,2025-10-06T22:03:50.215947
Technology & Software,Meta,meta.com,Internal/Proprietary CDN,NO,,,,,success,,2025-10-06T22:03:50.726963
Technology & Software,Amazon,amazon.com,AWS CloudFront; Azure CDN,YES,"ip: Azure CDN,AWS CloudFront",Azure CDN: 52.94.236.248; AWS CloudFront: 205.251.242.103,,,success,,2025-10-06T22:03:52.236735
